
Label=dB(v(Out)/(V(Vid1)-V(Vid2))) vs F
LabelX=F
LabelY=dB(v(Out)/(V(Vid1)-V(Vid2)))
Data Point Count=1001
F,F,F,dB(v(Out)/(V(Vid1)-V(Vid2))),dB(v(Out)/(V(Vid1)-V(Vid2)))
3.5974933515574691E+002, 3.5974933515574691E+002, 0.0000000000000000E+000, 2.7467255267315647E+001, 0.0000000000000000E+000
3.6307805477010601E+002, 3.6307805477010601E+002, 0.0000000000000000E+000, 2.7467255245606545E+001, 0.0000000000000000E+000
3.6643757464783801E+002, 3.6643757464783801E+002, 0.0000000000000000E+000, 2.7467255223495108E+001, 0.0000000000000000E+000
3.6982817978027100E+002, 3.6982817978027100E+002, 0.0000000000000000E+000, 2.7467255200971401E+001, 0.0000000000000000E+000
3.7325015779572544E+002, 3.7325015779572544E+002, 0.0000000000000000E+000, 2.7467255178029202E+001, 0.0000000000000000E+000
3.7670379898391383E+002, 3.7670379898391383E+002, 0.0000000000000000E+000, 2.7467255154660542E+001, 0.0000000000000000E+000
3.8018939632056623E+002, 3.8018939632056623E+002, 0.0000000000000000E+000, 2.7467255130858312E+001, 0.0000000000000000E+000
3.8370724549228390E+002, 3.8370724549228390E+002, 0.0000000000000000E+000, 2.7467255106611731E+001, 0.0000000000000000E+000
3.8725764492162244E+002, 3.8725764492162244E+002, 0.0000000000000000E+000, 2.7467255081915617E+001, 0.0000000000000000E+000
3.9084089579240737E+002, 3.9084089579240737E+002, 0.0000000000000000E+000, 2.7467255056760209E+001, 0.0000000000000000E+000
3.9445730207528385E+002, 3.9445730207528385E+002, 0.0000000000000000E+000, 2.7467255031137459E+001, 0.0000000000000000E+000
3.9810717055350278E+002, 3.9810717055350278E+002, 0.0000000000000000E+000, 2.7467255005037195E+001, 0.0000000000000000E+000
4.0179081084894557E+002, 4.0179081084894557E+002, 0.0000000000000000E+000, 2.7467254978452800E+001, 0.0000000000000000E+000
4.0550853544838958E+002, 4.0550853544838958E+002, 0.0000000000000000E+000, 2.7467254951373125E+001, 0.0000000000000000E+000
4.0926065973001670E+002, 4.0926065973001670E+002, 0.0000000000000000E+000, 2.7467254923791124E+001, 0.0000000000000000E+000
4.1304750199016729E+002, 4.1304750199016729E+002, 0.0000000000000000E+000, 2.7467254895695625E+001, 0.0000000000000000E+000
4.1686938347034140E+002, 4.1686938347034140E+002, 0.0000000000000000E+000, 2.7467254867078545E+001, 0.0000000000000000E+000
4.2072662838445018E+002, 4.2072662838445018E+002, 0.0000000000000000E+000, 2.7467254837928259E+001, 0.0000000000000000E+000
4.2461956394631909E+002, 4.2461956394631909E+002, 0.0000000000000000E+000, 2.7467254808237165E+001, 0.0000000000000000E+000
4.2854852039744583E+002, 4.2854852039744583E+002, 0.0000000000000000E+000, 2.7467254777993002E+001, 0.0000000000000000E+000
4.3251383103501507E+002, 4.3251383103501507E+002, 0.0000000000000000E+000, 2.7467254747188122E+001, 0.0000000000000000E+000
4.3651583224017241E+002, 4.3651583224017241E+002, 0.0000000000000000E+000, 2.7467254715809357E+001, 0.0000000000000000E+000
4.4055486350655985E+002, 4.4055486350655985E+002, 0.0000000000000000E+000, 2.7467254683846996E+001, 0.0000000000000000E+000
4.4463126746911536E+002, 4.4463126746911536E+002, 0.0000000000000000E+000, 2.7467254651290585E+001, 0.0000000000000000E+000
4.4874538993313894E+002, 4.4874538993313894E+002, 0.0000000000000000E+000, 2.7467254618129438E+001, 0.0000000000000000E+000
