
Label=dB(v(Vout)/v(Vin)) vs F
LabelX=F
LabelY=dB(v(Vout)/v(Vin))
Data Point Count=1001
F,F,F,dB(v(Vout)/v(Vin)),dB(v(Vout)/v(Vin))
2.9376496519615371E+003, 2.9376496519615371E+003, 0.0000000000000000E+000, 1.1597329011169013E+001, 0.0000000000000000E+000
2.9580124665515523E+003, 2.9580124665515523E+003, 0.0000000000000000E+000, 1.1722523879219773E+001, 0.0000000000000000E+000
2.9785164294291963E+003, 2.9785164294291963E+003, 0.0000000000000000E+000, 1.1847792572191134E+001, 0.0000000000000000E+000
2.9991625189876577E+003, 2.9991625189876577E+003, 0.0000000000000000E+000, 1.1973136161648203E+001, 0.0000000000000000E+000
3.0199517204020231E+003, 3.0199517204020231E+003, 0.0000000000000000E+000, 1.2098555735351795E+001, 0.0000000000000000E+000
3.0408850256762862E+003, 3.0408850256762862E+003, 0.0000000000000000E+000, 1.2224052397521479E+001, 0.0000000000000000E+000
3.0619634336906843E+003, 3.0619634336906843E+003, 0.0000000000000000E+000, 1.2349627269103664E+001, 0.0000000000000000E+000
3.0831879502493612E+003, 3.0831879502493612E+003, 0.0000000000000000E+000, 1.2475281488044397E+001, 0.0000000000000000E+000
3.1045595881283625E+003, 3.1045595881283625E+003, 0.0000000000000000E+000, 1.2601016209567286E+001, 0.0000000000000000E+000
3.1260793671239621E+003, 3.1260793671239621E+003, 0.0000000000000000E+000, 1.2726832606456407E+001, 0.0000000000000000E+000
3.1477483141013231E+003, 3.1477483141013231E+003, 0.0000000000000000E+000, 1.2852731869344566E+001, 0.0000000000000000E+000
3.1695674630434983E+003, 3.1695674630434983E+003, 0.0000000000000000E+000, 1.2978715207006841E+001, 0.0000000000000000E+000
3.1915378551007689E+003, 3.1915378551007689E+003, 0.0000000000000000E+000, 1.3104783846659560E+001, 0.0000000000000000E+000
3.2136605386403248E+003, 3.2136605386403248E+003, 0.0000000000000000E+000, 1.3230939034264853E+001, 0.0000000000000000E+000
3.2359365692962901E+003, 3.2359365692962901E+003, 0.0000000000000000E+000, 1.3357182034840935E+001, 0.0000000000000000E+000
3.2583670100200952E+003, 3.2583670100200952E+003, 0.0000000000000000E+000, 1.3483514132778147E+001, 0.0000000000000000E+000
3.2809529311311981E+003, 3.2809529311311981E+003, 0.0000000000000000E+000, 1.3609936632160997E+001, 0.0000000000000000E+000
3.3036954103681560E+003, 3.3036954103681560E+003, 0.0000000000000000E+000, 1.3736450857096230E+001, 0.0000000000000000E+000
3.3265955329400535E+003, 3.3265955329400535E+003, 0.0000000000000000E+000, 1.3863058152047142E+001, 0.0000000000000000E+000
3.3496543915782850E+003, 3.3496543915782850E+003, 0.0000000000000000E+000, 1.3989759882174235E+001, 0.0000000000000000E+000
3.3728730865886973E+003, 3.3728730865886973E+003, 0.0000000000000000E+000, 1.4116557433682367E+001, 0.0000000000000000E+000
3.3962527259040930E+003, 3.3962527259040930E+003, 0.0000000000000000E+000, 1.4243452214174493E+001, 0.0000000000000000E+000
3.4197944251370973E+003, 3.4197944251370973E+003, 0.0000000000000000E+000, 1.4370445653012251E+001, 0.0000000000000000E+000
3.4434993076333935E+003, 3.4434993076333935E+003, 0.0000000000000000E+000, 1.4497539201683505E+001, 0.0000000000000000E+000
3.4673685045253251E+003, 3.4673685045253251E+003, 0.0000000000000000E+000, 1.4624734334176877E+001, 0.0000000000000000E+000
3.4914031547858704E+003, 3.4914031547858704E+003, 0.0000000000000000E+000, 1.4752032547363690E+001, 0.0000000000000000E+000
3.5156044052829902E+003, 3.5156044052829902E+003, 0.0000000000000000E+000, 1.4879435361387168E+001, 0.0000000000000000E+000
3.5399734108343559E+003, 3.5399734108343559E+003, 0.0000000000000000E+000, 1.5006944320059416E+001, 0.0000000000000000E+000
3.5645113342624513E+003, 3.5645113342624513E+003, 0.0000000000000000E+000, 1.5134560991266026E+001, 0.0000000000000000E+000
3.5892193464500615E+003, 3.5892193464500615E+003, 0.0000000000000000E+000, 1.5262286967378689E+001, 0.0000000000000000E+000
3.6140986263961422E+003, 3.6140986263961422E+003, 0.0000000000000000E+000, 1.5390123865675985E+001, 0.0000000000000000E+000
3.6391503612720808E+003, 3.6391503612720808E+003, 0.0000000000000000E+000, 1.5518073328772402E+001, 0.0000000000000000E+000
3.6643757464783425E+003, 3.6643757464783425E+003, 0.0000000000000000E+000, 1.5646137025055998E+001, 0.0000000000000000E+000
3.6897759857015130E+003, 3.6897759857015130E+003, 0.0000000000000000E+000, 1.5774316649134736E+001, 0.0000000000000000E+000
3.7153522909717353E+003, 3.7153522909717353E+003, 0.0000000000000000E+000, 1.5902613922291691E+001, 0.0000000000000000E+000
3.7411058827205434E+003, 3.7411058827205434E+003, 0.0000000000000000E+000, 1.6031030592949513E+001, 0.0000000000000000E+000
3.7670379898390988E+003, 3.7670379898390988E+003, 0.0000000000000000E+000, 1.6159568437144159E+001, 0.0000000000000000E+000
3.7931498497368298E+003, 3.7931498497368298E+003, 0.0000000000000000E+000, 1.6288229259008308E+001, 0.0000000000000000E+000
3.8194427084004765E+003, 3.8194427084004765E+003, 0.0000000000000000E+000, 1.6417014891264486E+001, 0.0000000000000000E+000
3.8459178204535465E+003, 3.8459178204535465E+003, 0.0000000000000000E+000, 1.6545927195728375E+001, 0.0000000000000000E+000
3.8725764492161829E+003, 3.8725764492161829E+003, 0.0000000000000000E+000, 1.6674968063822270E+001, 0.0000000000000000E+000
3.8994198667654450E+003, 3.8994198667654450E+003, 0.0000000000000000E+000, 1.6804139417099208E+001, 0.0000000000000000E+000
3.9264493539960094E+003, 3.9264493539960094E+003, 0.0000000000000000E+000, 1.6933443207777923E+001, 0.0000000000000000E+000
3.9536662006812903E+003, 3.9536662006812903E+003, 0.0000000000000000E+000, 1.7062881419288782E+001, 0.0000000000000000E+000
3.9810717055349837E+003, 3.9810717055349837E+003, 0.0000000000000000E+000, 1.7192456066831085E+001, 0.0000000000000000E+000
4.0086671762730393E+003, 4.0086671762730393E+003, 0.0000000000000000E+000, 1.7322169197942188E+001, 0.0000000000000000E+000
