
Label=v(Vout6) vs T
LabelX=T
LabelY=v(Vout6)
Data Point Count=1035
T,v(Vout6)
 6.7275358962770116E-004, 3.9313106854781728E+000
 6.7476878483600940E-004, 4.0225939522458569E+000
 6.7664686705245971E-004, 4.0995162692151998E+000
 6.7887761192038951E-004, 4.1810549284078720E+000
 6.8095288859517733E-004, 4.2495060934113322E+000
 6.8317746486487433E-004, 4.3151343194831036E+000
 6.8520900776390138E-004, 4.3697048257295839E+000
 6.8718884965747289E-004, 4.4178031177597106E+000
 6.8897698376768396E-004, 4.4581462943852621E+000
 6.9083948268363184E-004, 4.4966727851131161E+000
 6.9313452893463663E-004, 4.5409249835275789E+000
 6.9343644459614372E-004, 4.5463629156884169E+000
 6.9404027591915790E-004, 4.5573924442165303E+000
 6.9419123374991150E-004, 4.5601458156969876E+000
 6.9449314941141859E-004, 4.5656810613732182E+000
 6.9456862832679533E-004, 4.5670782643048087E+000
 6.9471958615754893E-004, 4.5698963388880030E+000
 6.9502150181905602E-004, 4.5759412247743843E+000
 6.9509698073443277E-004, 4.5778219010675034E+000
 6.9511585046327701E-004, 4.5783258381187428E+000
 6.9515358992096538E-004, 4.5794354897598319E+000
 6.9516302478538745E-004, 4.5797576877750812E+000
 6.9518189451423169E-004, 4.5804513409214582E+000
 6.9521963397192006E-004, 4.5823808844600968E+000
 6.9522906883634212E-004, 4.5830953320684094E+000
 6.9524793856518636E-004, 4.5849504482143306E+000
 6.9527341167239555E-004, 4.5913268634418012E+000
 6.9527750029774681E-004, 4.5933295684985413E+000
