
Label=v(Vout) vs T
LabelX=T
LabelY=v(Vout)
Data Point Count=248
T,v(Vout)
 4.1016556202014952E-006, 4.6457244268166002E+000
 4.1023549484164229E-006, 4.4014674964626108E+000
 4.1037536048462785E-006, 3.9604098000063899E+000
 4.1065509177059905E-006, 3.2564874137104574E+000
 4.1093433166976339E-006, 2.7693856424603616E+000
 4.1123332618290376E-006, 2.4349265837560710E+000
 4.1183131520918441E-006, 2.1034387106355794E+000
 4.1277357164696347E-006, 1.9711135361074208E+000
 4.1375187582653748E-006, 1.9618948072804527E+000
 4.1520990156991003E-006, 1.9614275873268290E+000
 4.1764352765286104E-006, 1.9615154928121372E+000
 4.2146304441259099E-006, 1.9614767956482910E+000
 4.2830864119239406E-006, 1.9615009565931283E+000
 4.3830864119239405E-006, 1.9614825130953433E+000
 4.4830864119239404E-006, 1.9614974100552010E+000
 4.5830864119239403E-006, 1.9614853785408748E+000
 4.6009999999999997E-006, 1.9614921236511449E+000
 4.6010999999999999E-006, 1.9657161763233646E+000
 4.6013000000000003E-006, 1.9829369402820434E+000
 4.6017000000000003E-006, 2.0607500941975880E+000
 4.6020000000000002E-006, 2.1384083885981511E+000
 4.6020665000000004E-006, 2.1555291934551457E+000
 4.6021995000000000E-006, 2.1895796951503468E+000
 4.6024655000000002E-006, 2.2565171761045906E+000
 4.6029974999999996E-006, 2.3858515533382127E+000
 4.6040614999999985E-006, 2.6272477266000234E+000
 4.6061894999999971E-006, 3.0477084116925361E+000
 4.6104454999999943E-006, 3.6863031668406041E+000
 4.6189574999999879E-006, 4.4280099182764898E+000
 4.6286077197307732E-006, 4.7816060052000706E+000
 4.6408845464471152E-006, 4.9401815056568870E+000
 4.6533592502583531E-006, 4.9840876854077640E+000
 4.6707829032297329E-006, 4.9983291450768847E+000
 4.6912435264923089E-006, 4.9999578386063170E+000
 4.7321647730174601E-006, 5.0000126358378267E+000
 4.8140072660677625E-006, 4.9999925816684589E+000
 4.9140072660677624E-006, 5.0000047537455989E+000
 5.0000000000000004E-006, 4.9999971162340255E+000
